id_cp_interaction,partner_receptor,partner_TF,protein_name_receptor,protein_name_TF,receptor_id,TF_symbol,Effect,Source,Curator,Xrefs_or_figures,Brivanlou_class
NA,P61073,P42229,CXCR4_HUMAN,STA5A_HUMAN,CXCR4,STAT5A,1,NA,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P61073,P51692,CXCR4_HUMAN,STA5B_HUMAN,CXCR4,STAT5B,1,NA,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P61073,Q14765,CXCR4_HUMAN,STAT4_HUMAN,CXCR4,STAT4,1,NA,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P43146,P32243,NA,OTX2_HUMAN,DCC,OTX2,1,PMID:33195252,LGarciaAlonso,NA,IIA_developmental
NA,P00533,P40763,EGFR_HUMAN,STAT3_HUMAN,EGFR,STAT3,1,Uniprot;PBMID: 8524316,LGarciaAlonso;RuxTes,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P00533,P42224,EGFR_HUMAN,STAT1_HUMAN,EGFR,STAT1,1,Uniprot;PBMID: 8524316,LGarciaAlonso;RuxTes,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P00533,P42229,EGFR_HUMAN,STA5A_HUMAN,EGFR,STAT5A,1,Uniprot;PBMID: 8524316,LGarciaAlonso;RuxTes,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P00533,P51692,EGFR_HUMAN,STA5B_HUMAN,EGFR,STAT5B,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P29323,P19419,EPHB2_HUMAN,ELK1_HUMAN,EPHB2,ELK1,1,PMID:12486127,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P54760,P19419,EPHB4_HUMAN,ELK1_HUMAN,EPHB4,ELK1,1,PMID:32299362,LGarciaAlonso,NA,IIA_developmental
NA,P19235,P40763,EPOR_HUMAN,STAT3_HUMAN,EPOR,STAT3,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P19235,P42224,EPOR_HUMAN,STAT1_HUMAN,EPOR,STAT1,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P19235,P42229,EPOR_HUMAN,STA5A_HUMAN,EPOR,STAT5A,1,Uniprot;PMID: 8665851,LGarciaAlonso;RuxTes,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P19235,P51692,EPOR_HUMAN,STA5B_HUMAN,EPOR,STAT5B,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,Q15303,P42229,ERBB4_HUMAN,STA5A_HUMAN,ERBB4,STAT5A,1,PMID: 15863494,RuxTes,NA,NA
NA,P03372,P03372,ESR1_HUMAN,ESR1_HUMAN,ESR1,ESR1,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,Q92731,Q92731,ESR2_HUMAN,ESR2_HUMAN,ESR2,ESR2,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,P21802,P03372,FGFR2_HUMAN,ESR1_HUMAN,FGFR2,ESR1,-1,PMID: 29180470; PMID: 27236187,RuxTes,NA,NA
NA,P23945,O43524,FSHR_HUMAN,FOXO3_HUMAN,FSHR,FOXO3,-1,PMID:11875118,LGarciaAlonso,NA,IIA_developmental
NA,P23945,Q12778,FSHR_HUMAN,FOXO1_HUMAN,FSHR,FOXO1,-1,PMID:11875118,LGarciaAlonso,NA,IIA_developmental
NA,FZD7_LRP5,O15178,NA,TBXT_HUMAN,FZD7_LRP5,TBXT,1,PMID:27641648;https://doi.org/10.1016/C2015-0-05642-8,LGarciaAlonso,NA,IIA_developmental
