Entry	Entry Name	Protein names	Gene Names (synonym)	Gene Names (primary)
A0A6Q8PFR3	A0A6Q8PFR3_HUMAN	Calpastatin (Calpain inhibitor)	NA	CAST
A0A6Q8PFS0	A0A6Q8PFS0_HUMAN	Peripheral myelin protein 22	NA	PMP22
A0A6Q8PFS4	A0A6Q8PFS4_HUMAN	Apoptosis-inducing factor 1, mitochondrial	NA	AIFM1
A0A6Q8PFT2	A0A6Q8PFT2_HUMAN	Platelet-activating factor acetylhydrolase IB subunit beta	NA	PAFAH1B1
A0A6Q8PFT6	A0A6Q8PFT6_HUMAN	Chloride channel CLIC-like protein 1	NA	CLCC1
A0A6Q8PFU0	A0A6Q8PFU0_HUMAN	Gamma-aminobutyric acid receptor subunit beta-2	NA	GABRB2
A0A6Q8PFU6	A0A6Q8PFU6_HUMAN	V-type proton ATPase subunit a	NA	ATP6V0A2
A0A6Q8PFV4	A0A6Q8PFV4_HUMAN	ribonuclease III (EC 3.1.26.3)	NA	DICER1
A0A6Q8PFX1	A0A6Q8PFX1_HUMAN	IkappaB kinase complex-associated protein	NA	ELP1
A0A6Q8PFX2	A0A6Q8PFX2_HUMAN	Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase)	NA	YARS1
A0A6Q8PFX4	A0A6Q8PFX4_HUMAN	Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase)	NA	YARS1
A0A6Q8PG07	A0A6Q8PG07_HUMAN	Sodium/potassium-transporting ATPase subunit beta-1-interacting protein (Na(+)/K(+)-transporting ATPase subunit beta-1-interacting protein)	NA	NKAIN3
A0A6Q8PG14	A0A6Q8PG14_HUMAN	Chloride channel CLIC-like protein 1	NA	CLCC1
A0A6Q8PG15	A0A6Q8PG15_HUMAN	Apoptosis-inducing factor 1, mitochondrial	NA	AIFM1
A0A6Q8PG17	A0A6Q8PG17_HUMAN	Cyclic AMP-dependent transcription factor ATF-4 (Activating transcription factor 4)	NA	ATF4
A0A6Q8PG28	A0A6Q8PG28_HUMAN	alanine--tRNA ligase (EC 6.1.1.7)	NA	AARS1
A0A6Q8PG30	A0A6Q8PG30_HUMAN	Chloride channel CLIC-like protein 1	NA	CLCC1
A0A6Q8PG34	A0A6Q8PG34_HUMAN	Hexosyltransferase (EC 2.4.1.-)	NA	B3GALNT2
A0A6Q8PG35	A0A6Q8PG35_HUMAN	Riboflavin transporter	NA	SLC52A2
A0A6Q8PG37	A0A6Q8PG37_HUMAN	Kinesin-like protein	NA	KIF2A
A0A6Q8PG46	A0A6Q8PG46_HUMAN	Nuclear distribution protein nudE homolog 1	NA	NDE1
A0A6Q8PG51	A0A6Q8PG51_HUMAN	E3 ubiquitin-protein ligase (EC 2.3.2.26)	NA	NEDD4L
A0A6Q8PG54	A0A6Q8PG54_HUMAN	Chloride channel protein	NA	CLCN4
