Entry	Entry Name	Protein names	Gene Names (synonym)	Gene Names (primary)
H0YDK5	H0YDK5_HUMAN	Switch-associated protein 70	NA	SWAP70
H0YDK7	H0YDK7_HUMAN	Ras-related protein Rab-30	NA	RAB30
H0YDK8	H0YDK8_HUMAN	Pumilio homolog 1	NA	PUM1
H0YDK9	H0YDK9_HUMAN	Serine/threonine-protein phosphatase 6 regulatory subunit 3	NA	PPP6R3
H0YDL0	H0YDL0_HUMAN	DENN domain-containing protein 2B	NA	DENND2B
H0YDL1	H0YDL1_HUMAN	Jouberin	NA	AHI1
H0YDL2	H0YDL2_HUMAN	Protein wntless homolog	NA	WLS
H0YDL3	H0YDL3_HUMAN	Chromosome 11 open reading frame 80	NA	C11orf80
H0YDL4	H0YDL4_HUMAN	Glutamate receptor 4	NA	GRIA4
H0YDL5	H0YDL5_HUMAN	Ras-related protein Rab-2A	NA	RAB2A
H0YDL6	H0YDL6_HUMAN	Chitinase domain-containing protein 1	NA	CHID1
H0YDL7	H0YDL7_HUMAN	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 6	NA	ALKBH6
H0YDL9	H0YDL9_HUMAN	Tetraspanin	NA	CD81
H0YDM0	H0YDM0_HUMAN	Liprin-beta-2	NA	PPFIBP2
H0YDM2	H0YDM2_HUMAN	Protein SOGA1	NA	SOGA1
H0YDM3	H0YDM3_HUMAN	Protein SAAL1	NA	SAAL1
H0YDM4	H0YDM4_HUMAN	Protein Hook homolog 3	NA	HOOK3
H0YDM5	H0YDM5_HUMAN	Long-chain fatty acid transport protein 3	NA	SLC27A3
H0YDM6	H0YDM6_HUMAN	Protein kinase C and casein kinase substrate in neurons protein 3	NA	PACSIN3
H0YDM7	H0YDM7_HUMAN	Inositol 1,4,5-triphosphate receptor-associated 1	NA	IRAG1
H0YDM8	H0YDM8_HUMAN	Putative protein N-methyltransferase FAM86B1	NA	FAM86B1
H0YDM9	H0YDM9_HUMAN	Cilia- and flagella-associated protein 95	NA	CFAP95
H0YDN0	H0YDN0_HUMAN	Target of Nesh-SH3	NA	ABI3BP
H0YDN2	H0YDN2_HUMAN	Ubiquitin-associated protein 2	NA	UBAP2
H0YDN3	H0YDN3_HUMAN	Signal peptide, CUB and EGF-like domain-containing protein 2	NA	SCUBE2
H0YDN4	H0YDN4_HUMAN	Calpain-8 (HCG2036808, isoform CRA_a)	NA	CAPN8
H0YDN5	H0YDN5_HUMAN	Inactive ubiquitin carboxyl-terminal hydrolase 50	NA	USP50
H0YDN6	H0YDN6_HUMAN	Diacylglycerol kinase zeta	NA	DGKZ
H0YDN7	H0YDN7_HUMAN	Polycystic kidney disease 2-like 1 protein	NA	PKD2L1
H0YDN8	H0YDN8_HUMAN	Doublesex- and mab-3-related transcription factor C1	NA	DMRTC1B
H0YDN9	H0YDN9_HUMAN	ADP-ribosylation factor GTPase-activating protein 2	NA	ARFGAP2
H0YDP0	H0YDP0_HUMAN	Long-chain fatty acid transport protein 3	NA	SLC27A3
H0YDP1	H0YDP1_HUMAN	Protein turtle homolog B	NA	IGSF9B
H0YDP2	H0YDP2_HUMAN	Coiled-coil domain-containing protein 18	NA	CCDC18
H0YDP3	H0YDP3_HUMAN	Protein TESPA1	NA	TESPA1
H0YDP5	H0YDP5_HUMAN	Connector enhancer of kinase suppressor of ras 1	NA	CNKSR1
H0YDP6	H0YDP6_HUMAN	Gem-associated protein 2	NA	GEMIN2
H0YDP8	H0YDP8_HUMAN	E3 ubiquitin-protein ligase TRIM21	NA	TRIM21
H0YDP9	H0YDP9_HUMAN	Receptor-type tyrosine-protein phosphatase kappa	NA	PTPRK
H0YDQ0	H0YDQ0_HUMAN	FYVE, RhoGEF and PH domain-containing protein 4	NA	FGD4
H0YDQ3	H0YDQ3_HUMAN	LIM domain only protein 7	NA	LMO7
H0YDQ5	H0YDQ5_HUMAN	Transcription factor SOX-13	NA	SOX13
H0YDQ6	H0YDQ6_HUMAN	Pumilio homolog 1	NA	PUM1
H0YDQ7	H0YDQ7_HUMAN	Nuclear pore complex-interacting protein family member B8	NA	NPIPB8
H0YDQ8	H0YDQ8_HUMAN	CREB-regulated transcription coactivator 2	NA	CRTC2
H0YDQ9	H0YDQ9_HUMAN	Attractin-like protein 1	NA	ATRNL1
H0YDR0	H0YDR0_HUMAN	Autophagy-related protein 13	NA	ATG13
H0YDR1	H0YDR1_HUMAN	Extracellular sulfatase Sulf-1	NA	SULF1
H0YDR2	H0YDR2_HUMAN	Uncharacterized protein C6orf141	NA	C6orf141
H0YDR3	H0YDR3_HUMAN	Tetratricopeptide repeat protein 9C	NA	TTC9C
H0YDR5	H0YDR5_HUMAN	Single Ig IL-1-related receptor	NA	SIGIRR
H0YDR6	H0YDR6_HUMAN	P2X purinoceptor 3	NA	P2RX3
H0YDR7	H0YDR7_HUMAN	DNA polymerase alpha subunit B	NA	POLA2
H0YDR8	H0YDR8_HUMAN	REST corepressor 3	NA	RCOR3
H0YDS0	H0YDS0_HUMAN	Ubiquilin-1	NA	UBQLN1
H0YDS1	H0YDS1_HUMAN	Beta-arrestin-1	NA	ARRB1
H0YDS3	H0YDS3_HUMAN	Lipase member J	NA	LIPJ
H0YDS4	H0YDS4_HUMAN	Nuclear pore complex protein Nup214	NA	NUP214
H0YDS5	H0YDS5_HUMAN	Aminopeptidase NAALADL1	NA	NAALADL1
H0YDS6	H0YDS6_HUMAN	von Willebrand factor A domain-containing protein 3B	NA	VWA3B
H0YDS7	H0YDS7_HUMAN	MutS protein homolog 5	NA	MSH5
H0YDS8	H0YDS8_HUMAN	DENN domain-containing protein 5A	NA	DENND5A
H0YDS9	H0YDS9_HUMAN	Nuclear autoantigenic sperm protein	NA	NASP
H0YDT0	H0YDT0_HUMAN	RalBP1-associated Eps domain-containing protein 1	NA	REPS1
H0YDT1	H0YDT1_HUMAN	Chordin-like protein 2	NA	CHRDL2
H0YDT2	H0YDT2_HUMAN	Cathepsin W	NA	CTSW
H0YDT3	H0YDT3_HUMAN	Protein OSCP1	NA	OSCP1
H0YDT5	H0YDT5_HUMAN	Medium-chain-specific acyl-CoA dehydrogenase, mitochondrial	NA	ACADM
H0YDT9	H0YDT9_HUMAN	Dynein axonemal intermediate chain 1	NA	DNAI1
H0YDU0	H0YDU0_HUMAN	Nuclear RNA export factor 1	NA	NXF1
H0YDU1	H0YDU1_HUMAN	Rho GTPase-activating protein 42	NA	ARHGAP42
H0YDU3	H0YDU3_HUMAN	Torsin-1A-interacting protein 1	NA	TOR1AIP1
H0YDU4	H0YDU4_HUMAN	Nucleolar protein 56	NA	NOP56
H0YDU6	H0YDU6_HUMAN	Xylosyl- and glucuronyltransferase LARGE2	NA	LARGE2
H0YDU7	H0YDU7_HUMAN	Serine-protein kinase ATM	NA	ATM
H0YDU9	H0YDU9_HUMAN	Clathrin interactor 1	NA	CLINT1
H0YDV0	H0YDV0_HUMAN	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3	NA	PFKFB3
H0YDV1	H0YDV1_HUMAN	Zinc finger protein 195	NA	ZNF195
H0YDV2	H0YDV2_HUMAN	Coiled-coil domain-containing protein 73	NA	CCDC73
H0YDV3	H0YDV3_HUMAN	Coiled-coil domain-containing protein 83	NA	CCDC83
H0YDV5	H0YDV5_HUMAN	Myc target protein 1	NA	MYCT1
H0YDV6	H0YDV6_HUMAN	DENN domain-containing protein 5A	NA	DENND5A
H0YDV8	H0YDV8_HUMAN	CD44 antigen	NA	CD44
H0YDW1	H0YDW1_HUMAN	Serine/threonine-protein phosphatase 6 regulatory subunit 3	NA	PPP6R3
H0YDW2	H0YDW2_HUMAN	Liprin-alpha-1	NA	PPFIA1
H0YDW3	H0YDW3_HUMAN	Apolipoprotein L3	NA	APOL3
H0YDW4	H0YDW4_HUMAN	Calcium-responsive transactivator	NA	SS18L1
H0YDW5	H0YDW5_HUMAN	Choline transporter-like protein 3	NA	SLC44A3
H0YDW6	H0YDW6_HUMAN	N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 1	NA	B4GALNT4
H0YDW8	H0YDW8_HUMAN	Granulysin	NA	GNLY
H0YDW9	H0YDW9_HUMAN	Cyclin-dependent kinase 19	NA	CDK19
H0YDX1	H0YDX1_HUMAN	ADP-ribosylation factor GTPase-activating protein 2	NA	ARFGAP2
H0YDX4	H0YDX4_HUMAN	Mitochondrial amidoxime-reducing component 1	NA	MTARC1
H0YDX5	H0YDX5_HUMAN	Cytoskeleton-associated protein 5	NA	CKAP5
H0YDX8	H0YDX8_HUMAN	Mucin-5B	NA	MUC5B
H0YDX9	H0YDX9_HUMAN	Vacuolar protein sorting-associated protein 51 homolog	NA	VPS51
H0YDY0	H0YDY0_HUMAN	Probable sodium-coupled neutral amino acid transporter 6	NA	SLC38A6
H0YDY1	H0YDY1_HUMAN	Inactive pancreatic lipase-related protein 1	NA	PNLIPRP1
H0YDY2	H0YDY2_HUMAN	Phospholipid phosphatase 5	NA	PLPP5
H0YDY3	H0YDY3_HUMAN	Baculoviral IAP repeat-containing protein 2	NA	BIRC2
H0YDY5	H0YDY5_HUMAN	Delta(14)-sterol reductase TM7SF2	NA	TM7SF2
H0YDY8	H0YDY8_HUMAN	AMP deaminase 3	NA	AMPD3
H0YDZ4	H0YDZ4_HUMAN	Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein	NA	PREX1
H0YDZ6	H0YDZ6_HUMAN	Terminal uridylyltransferase 4	NA	TUT4
H0YDZ8	H0YDZ8_HUMAN	Liprin-alpha-1	NA	PPFIA1
H0YDZ9	H0YDZ9_HUMAN	EH domain-binding protein 1-like protein 1	NA	EHBP1L1
H0YE00	H0YE00_HUMAN	Protein furry homolog	NA	FRY
H0YE02	H0YE02_HUMAN	Hypoxia-inducible factor 3-alpha	NA	HIF3A
H0YE03	H0YE03_HUMAN	CWF19-like protein 2	NA	CWF19L2
H0YE05	H0YE05_HUMAN	Retinoblastoma-like protein 1	NA	RBL1
H0YE07	H0YE07_HUMAN	RNA-binding region-containing protein 3	NA	RNPC3
H0YE08	H0YE08_HUMAN	Zinc finger C2HC domain-containing protein 1C	NA	ZC2HC1C
H0YE10	H0YE10_HUMAN	Probable sodium-coupled neutral amino acid transporter 6	NA	SLC38A6
H0YE11	H0YE11_HUMAN	Solute carrier organic anion transporter family member 2B1	NA	SLCO2B1
H0YE12	H0YE12_HUMAN	Proline-rich protein PRCC	NA	PRCC
H0YE13	H0YE13_HUMAN	Calmodulin-regulated spectrin-associated protein 2	NA	CAMSAP2
H0YE15	H0YE15_HUMAN	Integrator complex subunit 11	NA	INTS11
H0YE19	H0YE19_HUMAN	Oxysterol-binding protein-related protein 9	NA	OSBPL9
H0YE20	H0YE20_HUMAN	Fibroblast growth factor receptor 1	NA	FGFR1
H0YE21	H0YE21_HUMAN	Chromosome 11 open reading frame 80	NA	C11orf80
H0YE22	H0YE22_HUMAN	Eukaryotic translation initiation factor 4 gamma 2	NA	EIF4G2
H0YE24	H0YE24_HUMAN	Non-receptor tyrosine-protein kinase TYK2	NA	TYK2
H0YE25	H0YE25_HUMAN	Glutamine amidotransferase-like class 1 domain-containing protein 1	NA	GATD1
H0YE26	H0YE26_HUMAN	THUMP domain-containing protein 2	NA	THUMPD2
H0YE27	H0YE27_HUMAN	40S ribosomal protein S2	NA	RPS2
H0YE28	H0YE28_HUMAN	Selenoprotein H	NA	SELENOH
H0YE29	H0YE29_HUMAN	Rho GTPase-activating protein 1	NA	ARHGAP1
H0YE30	H0YE30_HUMAN	Copine-7	NA	CPNE7
H0YE31	H0YE31_HUMAN	Peptidyl-prolyl cis-trans isomerase E	NA	PPIE
H0YE32	H0YE32_HUMAN	AMP deaminase 2	NA	AMPD2
H0YE33	H0YE33_HUMAN	ATP-binding cassette sub-family C member 8	NA	ABCC8
H0YE34	H0YE34_HUMAN	Activating molecule in BECN1-regulated autophagy protein 1	NA	AMBRA1
H0YE36	H0YE36_HUMAN	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 3	NA	ASAP3
H0YE37	H0YE37_HUMAN	Breast cancer type 2 susceptibility protein	NA	BRCA2
H0YE38	H0YE38_HUMAN	Forkhead-associated domain-containing protein 1	NA	FHAD1
H0YE40	H0YE40_HUMAN	CD44 antigen	NA	CD44
H0YE41	H0YE41_HUMAN	Non-receptor tyrosine-protein kinase TYK2	NA	TYK2
H0YE42	H0YE42_HUMAN	Cathepsin F	NA	CTSF
H0YE43	H0YE43_HUMAN	DNA polymerase subunit gamma-1	NA	POLG
H0YE44	H0YE44_HUMAN	Eukaryotic translation initiation factor 4 gamma 2	NA	EIF4G2
H0YE46	H0YE46_HUMAN	RNA-binding protein 25	NA	RBM25
H0YE47	H0YE47_HUMAN	Synaptotagmin-13	NA	SYT13
H0YE48	H0YE48_HUMAN	Serine/threonine-protein kinase TNNI3K	NA	TNNI3K
H0YE49	H0YE49_HUMAN	Membrane-spanning 4-domains subfamily A member 4A	NA	MS4A4A
H0YE53	H0YE53_HUMAN	Secretion-regulating guanine nucleotide exchange factor	NA	SERGEF
H0YE54	H0YE54_HUMAN	Golgin subfamily A member 1	NA	GOLGA1
H0YE55	H0YE55_HUMAN	p53-induced death domain-containing protein 1	NA	PIDD1
H0YE58	H0YE58_HUMAN	Elongation factor 1-delta	NA	EEF1D
H0YE59	H0YE59_HUMAN	DENN domain-containing protein 2B	NA	DENND2B
H0YE60	H0YE60_HUMAN	Cilia- and flagella-associated protein HOATZ	NA	HOATZ
H0YE62	H0YE62_HUMAN	Phosphofurin acidic cluster sorting protein 1	NA	PACS1
H0YE64	H0YE64_HUMAN	Phospholipase DDHD2	NA	DDHD2
H0YE66	H0YE66_HUMAN	Uncharacterized protein	NA	NA
H0YE67	H0YE67_HUMAN	MAP kinase-interacting serine/threonine-protein kinase 1	NA	MKNK1
H0YE68	H0YE68_HUMAN	Histone-lysine N-methyltransferase NSD3	NA	NSD3
H0YE69	H0YE69_HUMAN	Protein Hook homolog 3	NA	HOOK3
H0YE70	H0YE70_HUMAN	Protein transport protein Sec16B	NA	SEC16B
H0YE73	H0YE73_HUMAN	RalBP1-associated Eps domain-containing protein 1	NA	REPS1
H0YE74	H0YE74_HUMAN	Cleavage stimulation factor subunit 3	NA	CSTF3
H0YE75	H0YE75_HUMAN	Latent-transforming growth factor beta-binding protein 3	NA	LTBP3
H0YE76	H0YE76_HUMAN	Activating signal cointegrator 1 complex subunit 1	NA	ASCC1
H0YE79	H0YE79_HUMAN	Activating signal cointegrator 1 complex subunit 1	NA	ASCC1
H0YE80	H0YE80_HUMAN	Ankyrin repeat domain-containing protein 42	NA	ANKRD42
H0YE81	H0YE81_HUMAN	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial	NA	NDUFV1
H0YE82	H0YE82_HUMAN	N-acetyl-D-glucosamine kinase	NA	NAGK
H0YE85	H0YE85_HUMAN	Olfactomedin-like protein 2B	NA	OLFML2B
H0YE86	H0YE86_HUMAN	Granulocyte colony-stimulating factor receptor	NA	CSF3R
H0YE87	H0YE87_HUMAN	Eukaryotic translation initiation factor 4 gamma 2	NA	EIF4G2
H0YE89	H0YE89_HUMAN	RalBP1-associated Eps domain-containing protein 1	NA	REPS1
H0YE90	H0YE90_HUMAN	GDP-L-fucose synthase	NA	GFUS
H0YE91	H0YE91_HUMAN	Chitinase-3-like protein 2	NA	CHI3L2
H0YE92	H0YE92_HUMAN	Testis-expressed protein 26	NA	TEX26
H0YE93	H0YE93_HUMAN	Oxysterol-binding protein-related protein 9	NA	OSBPL9
H0YE95	H0YE95_HUMAN	LIM domain only protein 7	NA	LMO7
H0YE96	H0YE96_HUMAN	Probable asparagine--tRNA ligase, mitochondrial	NA	NARS2
H0YE97	H0YE97_HUMAN	Phosphatidylinositol-binding clathrin assembly protein	NA	PICALM
H0YE98	H0YE98_HUMAN	Low-density lipoprotein receptor-related protein 5	NA	LRP5
H0YEA0	H0YEA0_HUMAN	Target of Nesh-SH3	NA	ABI3BP
H0YEA1	H0YEA1_HUMAN	CD44 antigen	NA	CD44
H0YEA3	H0YEA3_HUMAN	Chitinase domain-containing protein 1	NA	CHID1
H0YEA4	H0YEA4_HUMAN	Ras-related protein Rab-38	NA	RAB38
H0YEA5	H0YEA5_HUMAN	Low-density lipoprotein receptor-related protein 8	NA	LRP8
H0YEA6	H0YEA6_HUMAN	Mitochondrial fission regulator	NA	MTFR2
H0YEA7	H0YEA7_HUMAN	N-acetylglucosamine-1-phosphotransferase subunit gamma	NA	GNPTG
H0YEA8	H0YEA8_HUMAN	DENN domain-containing protein 5A	NA	DENND5A
H0YEA9	H0YEA9_HUMAN	ATP-binding cassette sub-family C member 8	NA	ABCC8
H0YEB0	H0YEB0_HUMAN	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 3	NA	ASAP3
H0YEB1	H0YEB1_HUMAN	Excitatory amino acid transporter 2	NA	SLC1A2
H0YEB2	H0YEB2_HUMAN	MSH5-SAPCD1 readthrough (NMD candidate)	NA	MSH5-SAPCD1
H0YEB3	H0YEB3_HUMAN	Signal peptide, CUB and EGF-like domain-containing protein 2	NA	SCUBE2
H0YEB6	H0YEB6_HUMAN	Protein ZNRD2	NA	ZNRD2
H0YEB7	H0YEB7_HUMAN	N-acetyl-D-glucosamine kinase (EC 2.7.1.59) (GlcNAc kinase)	NA	NAGK
H0YEB8	H0YEB8_HUMAN	RNA-binding region-containing protein 3	NA	RNPC3
H0YEB9	H0YEB9_HUMAN	Potassium channel subfamily K member 7	NA	KCNK7
H0YEC0	H0YEC0_HUMAN	Aldehyde dehydrogenase family 3 member B2	NA	ALDH3B2
H0YEC1	H0YEC1_HUMAN	Membrane-anchored junction protein	NA	MAJIN
H0YEC2	H0YEC2_HUMAN	CKLF-like MARVEL transmembrane domain-containing protein 1	NA	CMTM1
H0YEC4	H0YEC4_HUMAN	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 6	NA	ALKBH6
H0YEC5	H0YEC5_HUMAN	Eukaryotic translation initiation factor 4 gamma 2	NA	EIF4G2
H0YEC6	H0YEC6_HUMAN	Serine-protein kinase ATM	NA	ATM
H0YEC7	H0YEC7_HUMAN	Caspase-1	NA	CASP1
H0YEC9	H0YEC9_HUMAN	Dynein axonemal intermediate chain 3	NA	DNAI3
H0YED1	H0YED1_HUMAN	2-(3-amino-3-carboxypropyl)histidine synthase subunit 2	NA	DPH2
H0YED2	H0YED2_HUMAN	Glutamine-dependent NAD(+) synthetase	NA	NADSYN1
H0YED3	H0YED3_HUMAN	Nuclear pore complex protein Nup214	NA	NUP214
H0YED4	H0YED4_HUMAN	Pumilio homolog 1	NA	PUM1
H0YED5	H0YED5_HUMAN	Fatty acid desaturase 3	NA	FADS3
H0YED6	H0YED6_HUMAN	Nuclear pore complex-interacting protein	NA	NA
H0YED7	H0YED7_HUMAN	Endoplasmic reticulum protein SC65	NA	P3H4
H0YED8	H0YED8_HUMAN	von Willebrand factor A domain-containing protein 5B1	NA	VWA5B1
H0YEE2	H0YEE2_HUMAN	CD81 antigen	NA	CD81
H0YEE3	H0YEE3_HUMAN	Interferon-related developmental regulator 1	NA	IFRD1
H0YEE4	H0YEE4_HUMAN	DNA-directed RNA polymerase II subunit RPB7	NA	POLR2G
H0YEE5	H0YEE5_HUMAN	Transcription factor 7-like 2	NA	TCF7L2
H0YEE6	H0YEE6_HUMAN	All trans-polyprenyl-diphosphate synthase PDSS1	NA	PDSS1
H0YEE8	H0YEE8_HUMAN	Terminal uridylyltransferase 4	NA	TUT4
H0YEE9	H0YEE9_HUMAN	Post-GPI attachment to proteins factor 2	NA	PGAP2
H0YEF0	H0YEF0_HUMAN	DENN domain-containing protein 4B	NA	DENND4B
H0YEF1	H0YEF1_HUMAN	Jouberin	NA	AHI1
H0YEF2	H0YEF2_HUMAN	KMT2D	NA	NA
H0YEF4	H0YEF4_HUMAN	Palmitoyltransferase ZDHHC5	NA	ZDHHC5
H0YEF5	H0YEF5_HUMAN	Glycerophosphodiester phosphodiesterase domain-containing protein 5	NA	GDPD5
H0YEF6	H0YEF6_HUMAN	Tetratricopeptide repeat protein 12	NA	TTC12
H0YEF9	H0YEF9_HUMAN	Liprin-alpha-1	NA	PPFIA1
H0YEG2	H0YEG2_HUMAN	Diacylglycerol kinase zeta	NA	DGKZ
H0YEG3	H0YEG3_HUMAN	Histone acetyltransferase KAT5	NA	KAT5
H0YEG4	H0YEG4_HUMAN	Monocarboxylate transporter 5	NA	SLC16A4
H0YEG5	H0YEG5_HUMAN	Complex I assembly factor TMEM126B, mitochondrial	NA	TMEM126B
H0YEG7	H0YEG7_HUMAN	Nuclear receptor-interacting protein 3	NA	NRIP3
H0YEG8	H0YEG8_HUMAN	Nucleobindin-2	NA	NUCB2
H0YEH0	H0YEH0_HUMAN	Large neutral amino acids transporter small subunit 3	NA	SLC43A1
H0YEH1	H0YEH1_HUMAN	Phosphatidylinositol-binding clathrin assembly protein	NA	PICALM
H0YEH3	H0YEH3_HUMAN	Probable sodium-coupled neutral amino acid transporter 6	NA	SLC38A6
H0YEH4	H0YEH4_HUMAN	Dynein axonemal intermediate chain 4	NA	DNAI4
H0YEH6	H0YEH6_HUMAN	RING finger protein 121	NA	RNF121
H0YEH7	H0YEH7_HUMAN	Inhibitor of growth protein 4	NA	ING4
H0YEH8	H0YEH8_HUMAN	Copine-7	NA	CPNE7
H0YEH9	H0YEH9_HUMAN	Sterile alpha motif domain-containing protein 3	NA	SAMD3
H0YEI0	H0YEI0_HUMAN	Ras association domain-containing protein 7	NA	RASSF7
H0YEI1	H0YEI1_HUMAN	Zinc finger protein ubi-d4	NA	DPF2
H0YEI2	H0YEI2_HUMAN	Adenine DNA glycosylase	NA	MUTYH
H0YEI3	H0YEI3_HUMAN	SID1 transmembrane family member 2	NA	SIDT2
H0YEI5	H0YEI5_HUMAN	Signal peptide, CUB and EGF-like domain-containing protein 2	NA	SCUBE2
H0YEI6	H0YEI6_HUMAN	WD and tetratricopeptide repeats protein 1	NA	WDTC1
H0YEI7	H0YEI7_HUMAN	Eukaryotic translation initiation factor 4 gamma 2	NA	EIF4G2
H0YEI8	H0YEI8_HUMAN	Aminopeptidase NAALADL1	NA	NAALADL1
H0YEJ0	H0YEJ0_HUMAN	Sterile alpha motif domain-containing protein 12	NA	SAMD12
H0YEJ1	H0YEJ1_HUMAN	Chitinase-3-like protein 2	NA	CHI3L2
H0YEJ2	H0YEJ2_HUMAN	Wee1-like protein kinase	NA	WEE1
H0YEJ4	H0YEJ4_HUMAN	Calpain-8	NA	CAPN8
H0YEJ7	H0YEJ7_HUMAN	Rho GTPase-activating protein 42	NA	ARHGAP42
H0YEK0	H0YEK0_HUMAN	Liprin-alpha-1	NA	PPFIA1
H0YEK1	H0YEK1_HUMAN	Protein ZNRD2	NA	ZNRD2
H0YEK2	H0YEK2_HUMAN	PHD finger protein 21A	NA	PHF21A
H0YEK5	H0YEK5_HUMAN	Protein SAAL1	NA	SAAL1
H0YEK6	H0YEK6_HUMAN	Sperm-associated antigen 11A	NA	SPAG11A
H0YEK9	H0YEK9_HUMAN	UPF0598 protein C8orf82	NA	C8orf82
H0YEL0	H0YEL0_HUMAN	Gem-associated protein 2	NA	GEMIN2
H0YEL2	H0YEL2_HUMAN	Target of Nesh-SH3	NA	ABI3BP
H0YEL4	H0YEL4_HUMAN	Polycomb protein EED	NA	EED
H0YEL7	H0YEL7_HUMAN	Acetyl-CoA acetyltransferase, mitochondrial	NA	ACAT1
H0YEL8	H0YEL8_HUMAN	Secretion-regulating guanine nucleotide exchange factor	NA	SERGEF
H0YEM0	H0YEM0_HUMAN	Putative membrane-spanning 4-domains subfamily A member 4E	NA	MS4A4E
H0YEM2	H0YEM2_HUMAN	Membrane-spanning 4-domains subfamily A member 6A	NA	MS4A6A
H0YEM3	H0YEM3_HUMAN	Protein O-glucosyltransferase 3	NA	POGLUT3
H0YEM5	H0YEM5_HUMAN	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 6	NA	ALKBH6
H0YEM6	H0YEM6_HUMAN	E3 ubiquitin-protein ligase pellino homolog 3	NA	PELI3
H0YEM7	H0YEM7_HUMAN	Autophagy-related protein 13	NA	ATG13
H0YEM8	H0YEM8_HUMAN	Uncharacterized protein KIAA0408	NA	KIAA0408
H0YEM9	H0YEM9_HUMAN	Zinc finger and BTB domain-containing protein 44	NA	ZBTB44
H0YEN1	H0YEN1_HUMAN	Palmitoyltransferase ZDHHC18	NA	ZDHHC18
H0YEN4	H0YEN4_HUMAN	Nuclear pore complex protein Nup98-Nup96	NA	NUP98
H0YEN6	H0YEN6_HUMAN	Delta(14)-sterol reductase TM7SF2	NA	TM7SF2
H0YEN8	H0YEN8_HUMAN	Eukaryotic translation initiation factor 4 gamma 2	NA	EIF4G2
H0YEN9	H0YEN9_HUMAN	Methylosome subunit pICln	NA	CLNS1A
H0YEP0	H0YEP0_HUMAN	Histone acetyltransferase KAT5	NA	KAT5
H0YEP1	H0YEP1_HUMAN	Ubiquitin carboxyl-terminal hydrolase 35	NA	USP35
H0YEP2	H0YEP2_HUMAN	DUF4817 domain-containing protein	NA	NA
H0YEP3	H0YEP3_HUMAN	Probable aminopeptidase NPEPL1	NA	NPEPL1
H0YEP5	H0YEP5_HUMAN	Sphingomyelin phosphodiesterase	NA	SMPD1
H0YEP6	H0YEP6_HUMAN	Ephrin type-A receptor 10	NA	EPHA10
H0YEP7	H0YEP7_HUMAN	CMP-N-acetylneuraminate-beta-1,4-galactoside alpha-2,3-sialyltransferase	NA	ST3GAL3
H0YEP9	H0YEP9_HUMAN	BRCA2-interacting transcriptional repressor EMSY	NA	EMSY
H0YEQ0	H0YEQ0_HUMAN	Apolipoprotein L3	NA	APOL3
H0YEQ1	H0YEQ1_HUMAN	E3 ubiquitin-protein ligase RNF169	NA	RNF169
H0YEQ2	H0YEQ2_HUMAN	Beta-arrestin-1	NA	ARRB1
H0YEQ3	H0YEQ3_HUMAN	Cation channel sperm-associated auxiliary subunit TMEM262	NA	TMEM262
H0YEQ4	H0YEQ4_HUMAN	Calpain-8	NA	CAPN8
H0YEQ6	H0YEQ6_HUMAN	COMM domain-containing protein 5	NA	COMMD5
H0YEQ7	H0YEQ7_HUMAN	Polycystic kidney disease protein 1-like 2	NA	PKD1L2
H0YEQ8	H0YEQ8_HUMAN	Polyadenylate-binding protein 4	NA	PABPC4
H0YEQ9	H0YEQ9_HUMAN	Integrator complex subunit 11	NA	INTS11
H0YER0	H0YER0_HUMAN	Polyadenylate-binding protein 4	NA	PABPC4
H0YER1	H0YER1_HUMAN	Remodeling and spacing factor 1	NA	RSF1
H0YER2	H0YER2_HUMAN	Activating signal cointegrator 1 complex subunit 1	NA	ASCC1
H0YER3	H0YER3_HUMAN	Glutamine amidotransferase-like class 1 domain-containing protein 1	NA	GATD1
H0YER4	H0YER4_HUMAN	Ephrin type-A receptor 10	NA	EPHA10
H0YER5	H0YER5_HUMAN	Reticulocalbin-1	NA	RCN1
H0YER6	H0YER6_HUMAN	Adenine DNA glycosylase	NA	MUTYH
H0YER7	H0YER7_HUMAN	Apoptosis inhibitor 5	NA	API5
H0YER8	H0YER8_HUMAN	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 3	NA	ASAP3
H0YER9	H0YER9_HUMAN	Basic helix-loop-helix ARNT-like 1	NA	BMAL1
H0YES0	H0YES0_HUMAN	CD44 antigen	NA	CD44
H0YES1	H0YES1_HUMAN	Dynein axonemal intermediate chain 4	NA	DNAI4
H0YES2	H0YES2_HUMAN	DEP domain-containing protein 1A	NA	DEPDC1
H0YES3	H0YES3_HUMAN	TMF-regulated nuclear protein 1	NA	TRNP1
H0YES4	H0YES4_HUMAN	T-complex protein 11-like protein 1	NA	TCP11L1
